,roles
130,"SOFTWARE DEVELOPMENT MANAGER, ALEXA"
131,SOFTWARE ENGINEER
132,SECURITY ENGINEER
133,"SOFTWARE DEVELOPMENT ENGINEER, ALEXA EXPERIENCE AND DEVICES"
134,"SOFTWARE DEVELOPMENT ENGINEER, AMAZON ALEXA"
135,SENIOR DEVELOPMENT MANAGER - REDSHIFT QUERY PROCESSING
136,"SOFTWARE DEVELOPMENT MANAGER, FINANCE SYSTEMS"
137,SOFTWARE DEVELOPMENT ENGINEER - PRIME PHOTOS (ANDROID & FIRE TV)
138,"SOFTWARE DEVELOPMENT ENGINEER, ALEXA"
139,SENIOR SOFTWARE DEVELOPMENT ENGINEER - PRIME PHOTOS (ANDROID & FIRE TV)
140,SENIOR SOFTWARE DEVELOPMENT ENGINEER-ROBOTIC MANAGEMENT VISUALIZATION
141,SENIOR SOFTWARE DEVELOPMENT ENGINEER - DELIVERY OPTIMIZATION
142,MOBILE APPLICATIONS ENGINEER - RELOCATION TO UK
143,SENIOR SOFTWARE ENGINEER - AWS TOOL SAFETY
144,"SENIOR SOFTWARE ENGINEER, AWS OPERATIONAL READINESS"
145,SOFTWARE DEVELOPMENT ENGINEER - SPEECH AND LANGUAGE TECHNOLOGY (M/F)
146,SR. MACHINE LEARNING SCIENTIST
147,"SOFTWARE DEVELOPMENT ENGINEER, AD PLATFORM"
148,IOS ENGINEER
149,SENIOR SOFTWARE DEVELOPMENT ENGINEER-FIRE OS
150,SR.SOFTWARE DEVELOPMENT ENGINEER
151,"SOFTWARE DEVELOPMENT ENGINEER - TEST, ROBOTICS"
152,SR. SW DEVELOPMENT ENGINEER IN TEST
153,"SOFTWARE DEVELOPMENT ENGINEER, ALEXA ARTIFICIAL INTELLIGENCE"
154,SOFTWARE DEVELOPMENT ENGINEER IN TEST - ALEXA NEW INITIATIVE!
155,SOFTWARE DEVELOPMENT MANAGER
156,SENIOR SOFTWARE DEVELOPER ENGINEER
157,SOFTWARE DEVELOPMENT ENGINEER - AMAZON DEVICES
158,SOFTWARE DEVELOPMENT ENGINEER - ISSUE MANAGEMENT
159,SR. SYSTEMS ENGINEER WITH DATABASE EXPERIENCE
160,SOFTWARE DEVELOPMENT ENGINEER IN TEST
161,SYSTEM DEVELOPMENT ENGINEER: AWS/EC2
162,SR. SOFTWARE DEVELOPMENT ENGINEER - AMAZON LEX
163,SOFTWARE DEVELOPMENT ENGINEER - ANALYTICS
164,SENIOR SOFTWARE ENGINEER - ANALYTICS
165,SOFTWARE DEVELOPMENT ENGINEER - ANALYTICS
166,SOFTWARE ENGINEER IN TEST
167,SENIOR SOFTWARE ENGINEER IN TEST
168,"SR. SOFTWARE ENGINEER - RDS PLATFORM, PALO ALTO"
169,SOFTWARE DEVELOPMENT  ENGINEER
170,SOFTWARE DEVELOPMENT ENGINEER(INTERNATIONALIZATION)
171,"SOFTWARE DEVELOPMENT ENGINEER, AWS LAMBDA"
172,SOFTWARE DEVELOPMENT ENGINEER - AMAZON DEVICES (BLINK)
173,SOFTWARE DEVELOPMENT ENGINEER II - AMZ2502
174,GAMES UI ENGINEER
175,"ANDROID SDE, AMAZON PRINTS"
176,SOFTWARE DEVELOPMENT ENGINEER II - AMZ2530
177,SOFTWARE DEVELOPMENT ENGINEER II - AMZ2533
178,SOFTWARE DEVELOPMENT ENGINEER IN TEST II - REQ401
179,SENIOR SOFTWARE DEVELOPER
180,SOFTWARE DEVELOPMENT MANAGER - AWS EBS (LEVEL 6)
181,DSP FIRMWARE ENGINEER
